year,month,day,high,low
2018,1,20,26°,18°
2018,1,21,27°,17°
2018,1,22,23°,19°
2018,1,23,26°,18°
2018,1,24,29°,18°
2018,1,25,26°,18°
2018,1,26,26°,18°
2018,1,27,29°,20°
2018,1,28,27°,21°
2018,1,29,29°,19°
2018,1,30,26°,22°
2018,1,31,29°,19°
2018,2,1,30°,18°
2018,2,2,27°,18°
2018,2,3,25°,19°
2018,2,4,28°,19°
2018,2,5,29°,20°
2018,2,6,28°,21°
2018,2,7,29°,19°
2018,2,8,29°,20°
2018,2,9,29°,19°
2018,2,10,28°,19°
2018,2,11,27°,19°
2018,2,12,26°,19°
2018,2,13,28°,18°
2018,2,14,27°,19°
2018,2,15,28°,18°
2018,2,16,27°,17°
2018,2,17,28°,18°
2018,2,18,28°,18°
2018,2,19,25°,18°
2018,2,20,26°,18°
2018,2,21,27°,19°
2018,2,22,25°,18°
2018,2,23,27°,18°
2018,2,24,26°,17°
2018,2,25,27°,18°
2018,2,26,29°,19°
2018,2,27,27°,17°
2018,2,28,29°,17°
2018,3,1,30°,17°
2018,3,2,26°,19°
2018,3,3,28°,19°
2018,3,4,26°,15°
2018,3,5,26°,21°
2018,3,6,28°,18°
2018,3,7,29°,18°
2018,3,8,29°,22°
2018,3,9,30°,19°
2018,3,10,31°,21°
2018,3,11,31°,17°
2018,3,12,31°,18°
2018,3,13,29°,19°
2018,3,14,29°,18°
2018,3,15,29°,19°
2018,3,16,29°,18°
2018,3,17,30°,18°
2018,3,18,26°,19°
2018,3,19,28°,18°
2018,3,20,25°,18°
2018,3,21,29°,18°
2018,3,22,25°,19°
2018,3,23,28°,18°
2018,3,24,26°,19°
2018,3,25,29°,17°
2018,3,26,29°,18°
2018,3,27,29°,19°
2018,3,28,28°,19°
2018,3,29,24°,19°
2018,3,30,26°,18°
2018,3,31,27°,18°
2018,4,1,26°,17°
2018,4,2,22°,17°
2018,4,3,26°,17°
2018,4,4,21°,18°
2018,4,5,26°,17°
2018,4,6,26°,16°
2018,4,7,29°,18°
2018,4,8,30°,17°
2018,4,9,28°,17°
2018,4,10,24°,17°
2018,4,11,26°,17°
2018,4,12,27°,17°
2018,4,13,27°,17°
2018,4,14,24°,17°
2018,4,15,27°,16°
2018,4,16,27°,18°
2018,4,17,24°,21°
2018,4,18,25°,18°
2018,4,19,28°,18°
2018,4,20,23°,18°
2018,4,21,27°,18°
2018,4,22,25°,18°
2018,4,23,28°,19°
2018,4,24,27°,19°
2018,4,25,25°,19°
2018,4,26,28°,19°
2018,4,27,25°,19°
2018,4,28,25°,18°
2018,4,29,23°,18°
2018,4,30,25°,16°
2018,5,1,25°,16°
2018,5,2,26°,18°
2018,5,3,24°,19°
2018,5,4,27°,17°
2018,5,5,24°,18°
2018,5,6,28°,17°
2018,5,7,24°,18°
2018,5,8,25°,17°
2018,5,9,27°,17°
2018,5,10,25°,18°
2018,5,11,27°,18°
2018,5,12,27°,19°
2018,5,13,23°,18°
2018,5,14,23°,17°
2018,5,15,26°,18°
2018,5,16,26°,17°
2018,5,17,25°,18°
2018,5,18,25°,18°
2018,5,19,27°,17°
2018,5,20,27°,18°
2018,5,21,22°,19°
2018,5,22,27°,17°
2018,5,23,24°,18°
2018,5,24,24°,18°
2018,5,25,28°,18°
2018,5,26,25°,19°
2018,5,27,26°,18°
2018,5,28,26°,18°
2018,5,29,26°,18°
2018,5,30,26°,18°
2018,5,31,28°,17°
2018,6,1,25°,18°
2018,6,2,26°,17°
2018,6,3,27°,18°
2018,6,4,24°,19°
2018,6,5,27°,19°
2018,6,6,27°,19°
2018,6,7,27°,18°
2018,6,8,28°,21°
2018,6,9,27°,20°
2018,6,10,24°,20°
2018,6,11,27°,18°
2018,6,12,27°,18°
2018,6,13,28°,19°
2018,6,14,27°,20°
2018,6,15,26°,18°
2018,6,16,28°,18°
2018,6,17,27°,19°
2018,6,18,26°,18°
2018,6,19,27°,19°
2018,6,20,26°,19°
2018,6,21,28°,18°
2018,6,22,29°,18°
2018,6,23,26°,17°
2018,6,24,26°,17°
2018,6,25,26°,17°
2018,6,26,26°,18°
2018,6,27,26°,19°
2018,6,28,25°,17°
2018,6,29,26°,17°
2018,6,30,26°,18°
2018,7,1,26°,16°
2018,7,2,24°,17°
2018,7,3,27°,17°
2018,7,4,27°,17°
2018,7,5,27°,19°
2018,7,6,26°,18°
2018,7,7,26°,18°
2018,7,8,28°,18°
2018,7,9,28°,18°
2018,7,10,28°,18°
2018,7,11,28°,18°
2018,7,12,27°,19°
2018,7,13,28°,19°
2018,7,14,29°,18°
2018,7,15,29°,18°
2018,7,16,27°,19°
2018,7,17,29°,18°
2018,7,18,28°,17°
2018,7,19,29°,19°
2018,7,20,25°,21°
2018,7,21,27°,19°
2018,7,22,25°,19°
2018,7,23,28°,18°
2018,7,24,25°,19°
2018,7,25,28°,17°
2018,7,26,28°,21°
2018,7,27,22°,19°
2018,7,28,25°,18°
2018,7,29,27°,18°
2018,7,30,23°,18°
2018,7,31,25°,17°
2018,8,1,27°,19°
2018,8,2,27°,18°
2018,8,3,27°,17°
2018,8,4,27°,17°
2018,8,5,26°,16°
2018,8,6,26°,19°
2018,8,7,29°,22°
2018,8,8,29°,18°
2018,8,9,30°,20°
2018,8,10,29°,18°
2018,8,11,30°,19°
2018,8,12,29°,17°
2018,8,13,26°,19°
2018,8,14,20°,17°
2018,8,15,25°,20°
2018,8,16,24°,21°
2018,8,17,29°,18°
2018,8,18,28°,19°
2018,8,19,28°,21°
2018,8,20,24°,24°
2018,8,21,29°,21°
2018,8,22,29°,19°
2018,8,23,29°,19°
2018,8,24,30°,19°
2018,8,25,29°,19°
2018,8,26,29°,19°
2018,8,27,27°,18°
2018,8,28,26°,17°
2018,8,29,27°,18°
2018,8,30,29°,19°
2018,8,31,30°,18°
2018,9,1,27°,22°
2018,9,2,30°,19°
2018,9,3,26°,19°
2018,9,4,27°,18°
2018,9,5,26°,20°
2018,9,6,28°,18°
2018,9,7,25°,18°
2018,9,8,29°,17°
2018,9,9,27°,18°
2018,9,10,29°,18°
2018,9,11,24°,18°
2018,9,12,27°,18°
2018,9,13,24°,18°
2018,9,14,25°,17°
2018,9,15,22°,17°
2018,9,16,25°,16°
2018,9,17,25°,17°
2018,9,18,29°,17°
2018,9,19,27°,19°
2018,9,20,30°,18°
2018,9,21,30°,18°
2018,9,22,28°,19°
2018,9,23,26°,20°
2018,9,24,29°,18°
2018,9,25,29°,18°
2018,9,26,28°,18°
2018,9,27,27°,18°
2018,9,28,29°,16°
2018,9,29,29°,18°
2018,9,30,28°,18°
2018,10,1,28°,19°
2018,10,2,29°,19°
2018,10,3,27°,19°
2018,10,4,26°,18°
2018,10,5,27°,17°
2018,10,6,23°,15°
2018,10,7,28°,16°
2018,10,8,24°,18°
2018,10,9,24°,17°
2018,10,10,24°,17°
2018,10,11,19°,17°
2018,10,12,26°,16°
2018,10,13,28°,18°
2018,10,14,28°,17°
2018,10,15,28°,18°
2018,10,16,26°,20°
2018,10,17,25°,20°
2018,10,18,27°,18°
2018,10,19,26°,19°
2018,10,20,27°,17°
2018,10,21,24°,17°
2018,10,22,27°,18°
2018,10,23,25°,18°
