tablescraper-selected-row href,text-right,name,txt,progressBarTxt,progressBarTxt 2,progressBarTxt 3,text-center,kills,deaths,assists,text-center 2
https://www.leagueofgraphs.com/es/champions/builds/qiyana,110.,Qiyana,Mid,3.8%,46.7%,0.4%,"/
                            
                            /",7.9,6.5,5.6,0.0014
https://www.leagueofgraphs.com/es/champions/builds/brand,111.,Brand,Support,3.7%,49.0%,1.8%,"/
                            
                            /",5.1,7.4,8.8,0.0002
https://www.leagueofgraphs.com/es/champions/builds/zilean,112.,Zilean,Support,3.7%,52.3%,0.5%,"/
                            
                            /",2.3,4.5,12.0,0.0000
https://www.leagueofgraphs.com/es/champions/builds/olaf,113.,Olaf,Jungler,3.6%,48.5%,8.1%,"/
                            
                            /",6.4,5.6,6.7,0.0016
https://www.leagueofgraphs.com/es/champions/builds/maokai,114.,Maokai,"Support, Top",3.4%,51.4%,0.7%,"/
                            
                            /",2.6,5.6,10.3,0.0000
https://www.leagueofgraphs.com/es/champions/builds/warwick,115.,Warwick,"Jungler, Top",3.4%,50.9%,0.4%,"/
                            
                            /",6.5,5.9,7.2,0.0003
https://www.leagueofgraphs.com/es/champions/builds/zac,116.,Zac,Jungler,3.3%,49.1%,0.7%,"/
                            
                            /",4.0,4.5,10.8,0.0002
https://www.leagueofgraphs.com/es/champions/builds/malzahar,117.,Malzahar,Mid,3.3%,51.6%,2.3%,"/
                            
                            /",4.5,5.2,7.6,0.0005
https://www.leagueofgraphs.com/es/champions/builds/neeko,118.,Neeko,Mid,3.3%,51.3%,0.4%,"/
                            
                            /",5.3,5.5,7.4,0.0006
https://www.leagueofgraphs.com/es/champions/builds/akali,119.,Akali,"Mid, Top",3.3%,44.9%,4.7%,"/
                            
                            /",6.4,5.4,4.8,0.0015
https://www.leagueofgraphs.com/es/champions/builds/vi,120.,Vi,Jungler,3.2%,50.0%,0.3%,"/
                            
                            /",5.8,5.7,7.5,0.0010
,,,,,,,,,,,
https://www.leagueofgraphs.com/es/champions/builds/cassiopeia,121.,Cassiopeia,Mid,3.1%,50.2%,1.4%,"/
                            
                            /",6.2,5.8,5.9,0.0014
https://www.leagueofgraphs.com/es/champions/builds/kindred,122.,Kindred,Jungler,3.1%,49.4%,0.6%,"/
                            
                            /",6.9,6.1,6.6,0.0022
https://www.leagueofgraphs.com/es/champions/builds/tryndamere,123.,Tryndamere,Top,3.0%,49.9%,1.6%,"/
                            
                            /",6.0,5.3,3.8,0.0012
https://www.leagueofgraphs.com/es/champions/builds/annie,124.,Annie,Mid,3.0%,52.0%,0.9%,"/
                            
                            /",6.2,5.7,7.6,0.0009
https://www.leagueofgraphs.com/es/champions/builds/teemo,125.,Teemo,Top,2.9%,49.0%,1.5%,"/
                            
                            /",4.9,6.1,5.5,0.0004
https://www.leagueofgraphs.com/es/champions/builds/zyra,126.,Zyra,Support,2.9%,49.9%,0.6%,"/
                            
                            /",3.6,6.5,10.1,0.0001
https://www.leagueofgraphs.com/es/champions/builds/shyvana,127.,Shyvana,Jungler,2.8%,49.2%,0.4%,"/
                            
                            /",5.9,5.0,6.5,0.0017
https://www.leagueofgraphs.com/es/champions/builds/ivern,128.,Ivern,Jungler,2.8%,53.1%,1.1%,"/
                            
                            /",2.2,4.2,12.3,0.0000
https://www.leagueofgraphs.com/es/champions/builds/corki,129.,Corki,Mid,2.8%,51.0%,0.2%,"/
                            
                            /",7.1,5.7,6.6,0.0050
https://www.leagueofgraphs.com/es/champions/builds/azir,130.,Azir,Mid,2.7%,45.7%,0.3%,"/
                            
                            /",5.0,5.5,6.4,0.0018
https://www.leagueofgraphs.com/es/champions/builds/rumble,131.,Rumble,"Mid, Top",2.6%,49.8%,0.3%,"/
                            
                            /",5.3,5.2,7.3,0.0003
https://www.leagueofgraphs.com/es/champions/builds/kayle,132.,Kayle,Top,2.4%,50.1%,0.4%,"/
                            
                            /",5.1,5.5,5.7,0.0024
https://www.leagueofgraphs.com/es/champions/builds/quinn,133.,Quinn,Top,2.4%,51.4%,1.3%,"/
                            
                            /",7.1,6.7,5.6,0.0013
https://www.leagueofgraphs.com/es/champions/builds/taliyah,134.,Taliyah,Jungler,2.4%,50.9%,0.4%,"/
                            
                            /",6.6,5.6,8.3,0.0010
https://www.leagueofgraphs.com/es/champions/builds/kalista,135.,Kalista,AD Carry,2.3%,47.4%,0.3%,"/
                            
                            /",6.9,6.0,5.9,0.0031
,,,,,,,,,,,
https://www.leagueofgraphs.com/es/champions/builds/braum,136.,Braum,Support,2.3%,49.3%,0.2%,"/
                            
                            /",1.4,5.2,13.7,0.0000
https://www.leagueofgraphs.com/es/champions/builds/kennen,137.,Kennen,Top,2.3%,50.1%,0.3%,"/
                            
                            /",4.8,5.1,6.3,0.0007
https://www.leagueofgraphs.com/es/champions/builds/lissandra,138.,Lissandra,Mid,2.2%,50.4%,0.3%,"/
                            
                            /",5.1,5.7,8.4,0.0010
https://www.leagueofgraphs.com/es/champions/builds/varus,139.,Varus,AD Carry,2.2%,48.1%,0.1%,"/
                            
                            /",7.0,5.9,7.1,0.0025
https://www.leagueofgraphs.com/es/champions/builds/kled,140.,Kled,Top,2.2%,50.6%,0.7%,"/
                            
                            /",5.7,5.4,7.1,0.0006
https://www.leagueofgraphs.com/es/champions/builds/singed,141.,Singed,Top,2.1%,50.1%,0.2%,"/
                            
                            /",4.0,5.8,7.8,0.0006
https://www.leagueofgraphs.com/es/champions/builds/heimerdinger,142.,Heimerdinger,"Top, Mid",1.9%,51.6%,0.5%,"/
                            
                            /",4.5,5.6,6.4,0.0001
https://www.leagueofgraphs.com/es/champions/builds/sejuani,143.,Sejuani,Jungler,1.9%,48.7%,0.1%,"/
                            
                            /",4.2,4.7,10.7,0.0001
https://www.leagueofgraphs.com/es/champions/builds/illaoi,144.,Illaoi,Top,1.7%,49.6%,1.6%,"/
                            
                            /",4.9,6.0,4.6,0.0003
https://www.leagueofgraphs.com/es/champions/builds/sona,145.,Sona,Support,1.7%,51.2%,0.1%,"/
                            
                            /",2.2,5.3,13.4,0.0000
https://www.leagueofgraphs.com/es/champions/builds/amumu,146.,Amumu,Jungler,1.7%,48.2%,0.4%,"/
                            
                            /",4.0,5.7,9.9,0.0003
https://www.leagueofgraphs.com/es/champions/builds/xinzhao,147.,Xin Zhao,Jungler,1.5%,47.7%,0.1%,"/
                            
                            /",5.9,6.1,6.9,0.0007
https://www.leagueofgraphs.com/es/champions/builds/ziggs,148.,Ziggs,Mid,1.4%,49.8%,0.1%,"/
                            
                            /",5.0,5.2,7.7,0.0004
https://www.leagueofgraphs.com/es/champions/builds/tahmkench,149.,Tahm Kench,"Top, AD Carry, Support",1.3%,47.8%,0.1%,"/
                            
                            /",3.5,5.3,9.1,0.0004
https://www.leagueofgraphs.com/es/champions/builds/yorick,150.,Yorick,Top,1.2%,50.1%,0.3%,"/
                            
                            /",4.0,4.6,4.5,0.0000
,,,,,,,,,,,
https://www.leagueofgraphs.com/es/champions/builds/trundle,151.,Trundle,"Jungler, Top",1.2%,48.0%,0.1%,"/
                            
                            /",4.5,5.0,8.1,0.0009
https://www.leagueofgraphs.com/es/champions/builds/taric,152.,Taric,Support,1.1%,50.4%,0.1%,"/
                            
                            /",1.4,5.0,13.3,0.0000
https://www.leagueofgraphs.com/es/champions/builds/kogmaw,153.,Kog'Maw,AD Carry,1.1%,48.4%,0.1%,"/
                            
                            /",7.4,6.4,6.4,0.0038
https://www.leagueofgraphs.com/es/champions/builds/aurelionsol,154.,Aurelion Sol,Mid,1.0%,50.3%,0.1%,"/
                            
                            /",5.4,5.6,8.8,0.0010
